,id,Name,Country,Industry,Sales (M),Profits (M),Assets (M),MarketValue,Employee
0,1,3i Group,United Kingdom,Investment Services,485,925,7500,6700,-
1,2,3M,United States,Conglomerates,30300,4800,32700,102200,-
2,3,4moms,United States,Consumer Durables,48 ,-,-,-,175
3,4,77 Bank,Japan,Regional Banks,853,165,69100,1400,-
4,5,84 Lumber,United States,Retailing,2500,-,-,-,4700
5,6,9Round - 30 Minute Kickbox Fitness,United States,Services,4 ,-,-,-,14
6,7,A. Schulman,U.S.,Chemicals,2392,27 ,2352,798 ,5000
7,8,A.O. Smith,U.S.,"Electronics, Electrical Equip.",2537,283 ,2647,6706,13386
8,9,Aareal Bank,Germany,Thrifts & Mortgage Finance,1400,389,57200,2100,-
9,10,Aaron¨¹s,U.S.,Specialty Retailers: Other,3180,136 ,2659,1826,12700
10,11,ABB,Switzerland,Conglomerates,35500,1900,41600,48100,-
11,12,Abbott Laboratories,United States,Pharmaceuticals,20400,2400,41200,64900,-
