ID,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
1,PIH,"1347 Property Insurance Holdings, Inc.",7.25,$43.2M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
2,FLWS,"1-800 FLOWERS.COM, Inc.",10.15,$665.53M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
3,FCCY,1st Constitution Bancorp (NJ),18.6,$148.68M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
4,SRCE,1st Source Corporation,47.06,$1.22B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
5,VNET,"21Vianet Group, Inc.",7.24,$823.07M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
6,XXII,"22nd Century Group, Inc",0.98,$88.88M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
7,TWOU,"2U, Inc.",36.52,$1.72B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
8,DDD,3D Systems Corporation,16.49,$1.85B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
9,MMM,3M Company,187.41,$111.73B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
10,WBAI,500.com Limited,12.68,$526.2M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
11,JOBS,"51job, Inc.",36.04,$2.16B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
12,WUBA,58.com Inc.,31.97,$4.63B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
13,CAFD,8point3 Energy Partners LP,13.48,$1.07B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
14,EGHT,8x8 Inc,16.15,$1.47B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
15,AVHI,"A V Homes, Inc.",16.2,$365.64M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
16,SHLM,"A. Schulman, Inc.",33.7,$992.75M,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
17,AHC,A.H. Belo Corporation,6.4,$138.73M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
18,ATEN,"A10 Networks, Inc.",9.47,$636.44M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
19,AAC,"AAC Holdings, Inc.",7.58,$179.7M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
20,AAON,"AAON, Inc.",34.5,$1.82B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
21,AIR,AAR Corp.,33.68,$1.16B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
22,AAN,"Aaron&#39;s,  Inc.",27.18,$1.97B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
23,ABAX,"ABAXIS, Inc.",49.75,$1.12B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
24,ABB,ABB Ltd,22.55,$48.17B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
25,ABT,Abbott Laboratories,45.68,$78.93B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
26,ABBV,AbbVie Inc.,62.09,$98.97B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
27,ABEO,Abeona Therapeutics Inc.,5.25,$209.79M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
28,ABEOW,Abeona Therapeutics Inc.,3.05,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
29,ANF,Abercrombie & Fitch Company,11.98,$810.75M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
30,FAX,Aberdeen Asia-Pacific Income Fund Inc,4.95,$1.25B,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
31,IAF,Aberdeen Australia Equity Fund Inc,6.3,$143.28M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
32,CH,"Aberdeen Chile Fund, Inc.",6.43,$60.36M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
33,ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,12.18,$117.46M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe
34,FCO,"Aberdeen Global Income Fund, Inc.",8.52,$74.5M,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
35,GCH,"Aberdeen Greater China Fund, Inc.",9.4,$84.27M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
36,IF,"Aberdeen Indonesia Fund, Inc.",6.6199,$62.23M,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
37,ISL,"Aberdeen Israel Fund, Inc.",16.95,$67.77M,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
38,JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.8,$104.9M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
39,SGF,"Aberdeen Singapore Fund, Inc.",9.76,$73.75M,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
40,ABIL,Ability Inc.,2.8,$72.12M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil
41,ABMD,"ABIOMED, Inc.",117.14,$5.1B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
42,ABM,ABM Industries Incorporated,41.09,$2.28B,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
43,AXAS,Abraxas Petroleum Corporation,2.16,$353.9M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
44,ACIU,AC Immune SA,11.85,$656.44M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
45,ACIA,"Acacia Communications, Inc.",54.04,$2.02B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
46,ACTG,Acacia Research Corporation,5.8,$292.69M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
47,ACHC,"Acadia Healthcare Company, Inc.",44.94,$3.93B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
48,ACAD,ACADIA Pharmaceuticals Inc.,38.88,$4.71B,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
49,AKR,Acadia Realty Trust,32.62,$2.73B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
50,ACST,"Acasti Pharma, Inc.",1.2,$12.85M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
51,AXDX,"Accelerate Diagnostics, Inc.",26.6,$1.37B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
52,XLRN,Acceleron Pharma Inc.,25.17,$950.08M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
53,ACN,Accenture plc,123.43,$79.48B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
54,ANCX,Access National Corporation,27.54,$292.92M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
55,ACCO,Acco Brands Corporation,14.1,$1.51B,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
56,ARAY,Accuray Incorporated,5.45,$451.79M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
57,ACRX,"AcelRx Pharmaceuticals, Inc.",3,$136M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
58,ACET,Aceto Corporation,15.36,$462.55M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
59,AKAO,"Achaogen, Inc.",23.65,$826.01M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
60,ACHN,"Achillion Pharmaceuticals, Inc.",3.86,$527.59M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
61,ACIW,"ACI Worldwide, Inc.",20.29,$2.38B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
62,ACRS,"Aclaris Therapeutics, Inc.",30.8,$802.34M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
63,ACU,Acme United Corporation.,25.41,$84.49M,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
64,ACNB,ACNB Corporation,29.4,$178.29M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
65,ACOR,"Acorda Therapeutics, Inc.",24.9,$1.15B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
66,ATV,"Acorn International, Inc.",8.97,$34.32M,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
67,AIII,"ACRE Realty Investors, Inc.",1.1,$22.51M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii
68,ATNM,"Actinium Pharmaceuticals, Inc.",1.44,$80.28M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
69,ATVI,"Activision Blizzard, Inc",45.55,$33.85B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
70,ACTA,Actua Corporation,14,$488.45M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
71,ATU,Actuant Corporation,26.65,$1.58B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
72,AYI,Acuity Brands Inc,218.13,$9.62B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
73,GOLF,Acushnet Holdings Corp.,17.52,$1.3B,2016,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf
74,ACXM,Acxiom Corporation,29.37,$2.29B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
75,ADMS,"Adamas Pharmaceuticals, Inc.",17.2,$378.1M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
76,ADMP,Adamis Pharmaceuticals Corporation,3.25,$70.15M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
77,ADX,"Adams Diversified Equity Fund, Inc.",13.64,$1.3B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
78,PEO,"Adams Natural Resources Fund, Inc.",19.5,$556.83M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo
79,AE,"Adams Resources & Energy, Inc.",40.15,$169.34M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
80,ADAP,Adaptimmune Therapeutics plc,3.95,$279.6M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
81,ADK^A,Adcare Health Systems Inc,23.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a
82,ADK,Adcare Health Systems Inc,1.37,$27.32M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk
83,ADUS,Addus HomeCare Corporation,33.9,$388.61M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
84,AEY,"ADDvantage Technologies Group, Inc.",1.78,$18.04M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
85,AGRO,Adecoagro S.A.,11.9,$1.45B,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
86,ADPT,Adeptus Health Inc.,6.77,$142.98M,2014,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adpt
87,IOTS,Adesto Technologies Corporation,3.9,$60.41M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
88,ADNT,Adient plc,66.48,$6.23B,2016,n/a,n/a,http://www.nasdaq.com/symbol/adnt
89,ADMA,ADMA Biologics Inc,4.75,$61.21M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
90,ADBE,Adobe Systems Incorporated,119.31,$58.95B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
91,ADTN,"ADTRAN, Inc.",21.65,$1.05B,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
92,ADRO,"Aduro Biotech, Inc.",11.35,$762.52M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
93,AAP,Advance Auto Parts Inc,157.33,$11.6B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
94,AAAP,Advanced Accelerator Applications S.A.,36.96,$1.6B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
95,ADSW,"Advanced Disposal Services, Inc.",21.84,$1.92B,2016,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/adsw
96,WMS,"Advanced Drainage Systems, Inc.",22.45,$1.24B,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms
97,ADES,"Advanced Emissions Solutions, Inc.",11.01,$242.24M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
98,AEIS,"Advanced Energy Industries, Inc.",62.38,$2.48B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
99,AMD,"Advanced Micro Devices, Inc.",14.12,$13.28B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
100,ASX,"Advanced Semiconductor Engineering, Inc.",6.17,$9.84B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
101,APFH,"AdvancePierre Foods Holdings, Inc.",28.36,$2.19B,2016,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/apfh
102,ASIX,AdvanSix Inc.,27.48,$837.67M,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix
103,AAV,Advantage Oil & Gas Ltd,6.15,$1.14B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
104,ADXS,"Advaxis, Inc.",8.46,$339.43M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
105,ADXSW,"Advaxis, Inc.",4.919,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
106,AVK,Advent Claymore Convertible Securities and Income Fund,15.9,$374.94M,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
107,AGC,Advent Claymore Convertible Securities and Income Fund II,6.24,$200.91M,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
108,LCM,Advent/Claymore Enhanced Growth & Income Fund,8.58,$116.71M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
109,ADVM,"Adverum Biotechnologies, Inc.",2.65,$110.55M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm
110,MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,24.35,$1.22M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/maui
111,ACM,AECOM,35.77,$5.56B,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
112,ANW,Aegean Marine Petroleum Network Inc.,9.8,$386.16M,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
113,AEGN,Aegion Corp,22.48,$763.48M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
114,AGLE,"Aeglea BioTherapeutics, Inc.",5.83,$78.3M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle
115,AEB,Aegon NV,25.22,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
116,AED,Aegon NV,26.1,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed
117,AEG,Aegon NV,5.28,$11.14B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg
118,AEH,Aegon NV,25.7,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh
119,AEK,Aegon NV,25.9,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek
120,AEHR,Aehr Test Systems,4.75,$79.06M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
121,AMTX,"Aemetis, Inc",1.18,$23.43M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
122,AER,Aercap Holdings N.V.,45.35,$8.24B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
123,AERI,"Aerie Pharmaceuticals, Inc.",44.55,$1.49B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
124,ACY,AeroCentury Corp.,10,$15.67M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
125,HIVE,"Aerohive Networks, Inc.",5.01,$256.59M,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive
126,AJRD,"Aerojet Rocketdyne Holdings, Inc. ",19.25,$1.43B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd
127,AVAV,"AeroVironment, Inc.",26.58,$621.66M,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
128,AEZS,AEterna Zentaris Inc.,3,$38.75M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
129,AEMD,"Aethlon Medical, Inc.",3.78,$30.1M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd
130,AET,Aetna Inc.,128.97,$45.36B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
131,GNMX,"Aevi Genomic Medicine, Inc.",4.62,$171.39M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnmx
132,AMG,"Affiliated Managers Group, Inc.",168.03,$9.21B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
133,MGR,"Affiliated Managers Group, Inc.",25.79,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr
134,AFMD,Affimed N.V.,2,$86.52M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
135,AFL,Aflac Incorporated,71.71,$29.1B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
136,AFSD,Aflac Incorporated,25.39,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd
137,MITT,"AG Mortgage Investment Trust, Inc.",18.07,$500.54M,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt
138,MITT^A,"AG Mortgage Investment Trust, Inc.",25.214,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a
139,MITT^B,"AG Mortgage Investment Trust, Inc.",24.69,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b
140,AGCO,AGCO Corporation,61.73,$4.95B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
141,AGEN,Agenus Inc.,3.845,$335M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
142,AGRX,"Agile Therapeutics, Inc.",2.24,$64.42M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
143,A,"Agilent Technologies, Inc.",51.74,$16.66B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a
144,AGYS,"Agilysys, Inc.",9.27,$215.33M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
145,AGIO,"Agios Pharmaceuticals, Inc.",47.82,$2.02B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
146,AGNC,AGNC Investment Corp.,19.54,$6.47B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
147,AGNCB,AGNC Investment Corp.,25.685,$8.9B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
148,AGNCP,AGNC Investment Corp.,25.62,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
149,AEM,Agnico Eagle Mines Limited,45.32,$10.21B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
150,ADC,Agree Realty Corporation,50.74,$1.31B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc
151,AGU,Agrium Inc.,99.37,$13.73B,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
152,AGFS,"AgroFresh Solutions, Inc.",2.84,$141.78M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs
153,AGFSW,"AgroFresh Solutions, Inc.",0.11,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw
154,AIMT,"Aimmune Therapeutics, Inc.",19.63,$831.97M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt
155,AIRI,Air Industries Group,3.767,$28.57M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi
156,AL,Air Lease Corporation,38.11,$3.92B,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
157,AIRM,Air Methods Corporation,38.1,$1.39B,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm
158,APD,"Air Products and Chemicals, Inc.",140.86,$30.65B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
159,AIRT,"Air T, Inc.",22,$44.94M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
160,ATSG,"Air Transport Services Group, Inc",17.03,$1.01B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
161,AYR,Aircastle Limited,23.66,$1.86B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr
162,AIRG,"Airgain, Inc.",13.31,$123.45M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg
163,AMCN,AirMedia Group Inc,2.54,$157.98M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
164,AKS,AK Steel Holding Corporation,8.02,$2.52B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
165,AKAM,"Akamai Technologies, Inc.",62.87,$10.9B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
166,AKTX,Akari Therapeutics Plc,6.41,$75.49M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx
167,AKBA,"Akebia Therapeutics, Inc.",9.94,$380.95M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
168,AKER,Akers Biosciences Inc,1.25,$9.05M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
169,AKRX,"Akorn, Inc.",21.28,$2.67B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
170,ALP^O,Alabama Power Company,28.257,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o
171,ALG,"Alamo Group, Inc.",76.32,$878.49M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
172,AGI,Alamos Gold Inc.,8.03,$2.4B,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi
173,ALRM,"Alarm.com Holdings, Inc.",28.73,$1.32B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm
174,ALK,"Alaska Air Group, Inc.",97.01,$11.96B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk
175,ALSK,"Alaska Communications Systems Group, Inc.",1.65,$84.74M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
176,AIN,Albany International Corporation,47.35,$1.52B,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
177,AMRI,"Albany Molecular Research, Inc.",15.22,$652.8M,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
178,ALB,Albemarle Corporation,92.93,$10.45B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
179,ALBO,"Albireo Pharma, Inc.",24.46,$153.92M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo
180,ABDC,Alcentra Capital Corp.,12.59,$169.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc
181,AA,Alcoa Corporation,34.48,$6.31B,2016,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa
182,ADHD,Alcobra Ltd.,1.24,$34.18M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
183,ALDR,"Alder BioPharmaceuticals, Inc.",21.775,$1.1B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
184,ALDX,"Aldeyra Therapeutics, Inc.",4.9,$74.11M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
185,ALR,Alere Inc.,39.95,$3.48B,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr
186,ALR^B,Alere Inc.,330.02,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr^b
187,ALEX,"Alexander & Baldwin Holdings, Inc.",45.63,$2.24B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
188,ALX,"Alexander&#39;s, Inc.",438.4,$2.24B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
189,ARE,"Alexandria Real Estate Equities, Inc.",120.2,$10.68B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are
190,ARE^D,"Alexandria Real Estate Equities, Inc.",35.08,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^d
191,ARE^E,"Alexandria Real Estate Equities, Inc.",25.28,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^e
192,AXU,Alexco Resource Corp,1.83,$170.14M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
193,ALXN,"Alexion Pharmaceuticals, Inc.",131.54,$29.55B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
194,AQN,Algonquin Power & Utilities Corp.,9.25,$3.45B,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aqn
195,BABA,Alibaba Group Holding Limited,102.95,$257.38B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba
196,ALCO,"Alico, Inc.",25.9,$215.77M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
197,ALGN,"Align Technology, Inc.",102.89,$8.2B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
198,ALIM,"Alimera Sciences, Inc.",1.26,$81.73M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
199,ALJJ,"ALJ Regional Holdings, Inc.",3.92,$135.53M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj
200,ALKS,Alkermes plc,52.98,$8.08B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
201,Y,Alleghany Corporation,649.49,$10.01B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
