ID,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
3365,JKHY,"Jack Henry & Associates, Inc.",94.7,$7.35B,1985,Technology,EDP Services,http://www.nasdaq.com/symbol/jkhy
3366,JACK,Jack In The Box Inc.,94.89,$3B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jack
3367,JXSB,Jacksonville Bancorp Inc.,30.01,$53.97M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/jxsb
3368,JEC,Jacobs Engineering Group Inc.,56.03,$6.78B,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/jec
3369,JAG,Jagged Peak Energy Inc.,13.96,$3.37B,2017,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/jag
3370,JAGX,"Jaguar Animal Health, Inc.",1.15,$16.11M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jagx
3371,JAKK,"JAKKS Pacific, Inc.",5.5,$110.01M,1996,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/jakk
3372,JMBA,"Jamba, Inc.",9.75,$149.47M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jmba
3373,JHX,James Hardie Industries plc.,14.84,$6.54B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/jhx
3374,JRVR,"James River Group Holdings, Ltd.",43.74,$1.28B,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/jrvr
3375,JNS,"Janus Capital Group, Inc",12.5,$2.3B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/jns
3376,SGQI,Janus SG Global Quality Income ETF,26.76,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sgqi
3377,JSML,Janus Small Cap Growth Alpha ETF,31.045,$6.27M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jsml
3378,JSMD,Janus Small/Mid Cap Growth Alpha ETF,32.55,$11.46M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jsmd
3379,JOF,Japan Smaller Capitalization Fund Inc,10.59,$300.06M,1990,n/a,n/a,http://www.nasdaq.com/symbol/jof
3380,JASN,"Jason Industries, Inc.",1.4,$31.35M,2013,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/jasn
3381,JASNW,"Jason Industries, Inc.",0.055,n/a,2013,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/jasnw
3382,JAZZ,Jazz Pharmaceuticals plc,136.11,$8.15B,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jazz
3383,JD,"JD.com, Inc.",30.27,$43B,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/jd
3384,JELD,"JELD-WEN Holding, Inc.",30.74,$3.22B,2017,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/jeld
3385,JSYN,Jensyn Acquistion Corp.,10.2,$52.73M,2016,Finance,Business Services,http://www.nasdaq.com/symbol/jsyn
3386,JSYNR,Jensyn Acquistion Corp.,0.35,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/jsynr
3387,JSYNU,Jensyn Acquistion Corp.,10.7101,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/jsynu
3388,JSYNW,Jensyn Acquistion Corp.,0.26,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/jsynw
3389,JCAP,"Jernigan Capital, Inc.",21.66,$186.49M,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/jcap
3390,JBLU,JetBlue Airways Corporation,19.57,$6.6B,2002,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/jblu
3391,JTPY,JetPay Corporation,2.45,$43.32M,2011,Finance,Business Services,http://www.nasdaq.com/symbol/jtpy
3392,JCTCF,Jewett-Cameron Trading Company,12.05,$27.55M,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/jctcf
3393,JKS,JinkoSolar Holding Company Limited,17.15,$541.73M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/jks
3394,JIVE,"Jive Software, Inc.",4.2,$328.05M,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/jive
3395,WYIG,JM Global Holding Company,9.92,$65.1M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/wyig
3396,WYIGU,JM Global Holding Company,10.3692,$68.05M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/wyigu
3397,WYIGW,JM Global Holding Company,0.3992,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/wyigw
3398,JMP,JMP Group LLC,6.8064,$144.33M,2007,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmp
3399,JMPB,JMP Group LLC,25.5,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmpb
3400,JMPC,JMP Group LLC,25.6489,n/a,2014,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmpc
3401,JMU,JMU Limited,3.15,$252.82M,2015,Technology,EDP Services,http://www.nasdaq.com/symbol/jmu
3402,JBSS,"John B. Sanfilippo & Son, Inc.",62.88,$708.37M,1991,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/jbss
3403,JBT,John Bean Technologies Corporation,85,$2.48B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/jbt
3404,BTO,John Hancock Financial Opportunities Fund,36.36,$676.15M,1994,n/a,n/a,http://www.nasdaq.com/symbol/bto
3405,HEQ,John Hancock Hedged Equity & Income Fund,16.66,$203.5M,2011,n/a,n/a,http://www.nasdaq.com/symbol/heq
3406,JHS,John Hancock Income Securities Trust,14.58,$169.81M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jhs
3407,JHI,John Hancock Investors Trust,17.34,$150.98M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jhi
3408,HPF,John Hancock Pfd Income Fund II,21.08,$447.98M,2002,n/a,n/a,http://www.nasdaq.com/symbol/hpf
3409,HPI,John Hancock Preferred Income Fund,21.15,$549.66M,2002,n/a,n/a,http://www.nasdaq.com/symbol/hpi
3410,HPS,John Hancock Preferred Income Fund III,18.55,$585.59M,2003,n/a,n/a,http://www.nasdaq.com/symbol/hps
3411,PDT,John Hancock Premium Dividend Fund,15.79,$762.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pdt
3412,HTD,John Hancock Tax Advantaged Dividend Income Fund,24.38,$862.69M,2004,n/a,n/a,http://www.nasdaq.com/symbol/htd
3413,HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,9.49,$103.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hty
3414,JW.A,"John Wiley & Sons, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jw.a
3415,JW.B,"John Wiley & Sons, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jw.b
3416,JNJ,Johnson & Johnson,122.73,$333.89B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jnj
3417,JCI,Johnson Controls International plc,41.82,$39.26B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jci
3418,JOUT,Johnson Outdoors Inc.,35.21,$351.51M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/jout
3419,JONE,"Jones Energy, Inc.",3.45,$299.6M,2013,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/jone
3420,JLL,Jones Lang LaSalle Incorporated,113.93,$5.15B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/jll
3421,JNCE,"Jounce Therapeutics, Inc.",19.84,$618.35M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/jnce
3422,JOY,Joy Global Inc.,28.18,$2.78B,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/joy
3423,JPEP,JP Energy Partners LP,9,$329.91M,2014,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/jpep
3424,JFC,"JPMorgan China Region Fund, Inc.",17.58,$113.35M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jfc
3425,JRJR,"JRjr33, Inc.",0.77,$30.32M,2014,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jrjr
3426,JMEI,Jumei International Holding Limited,4.08,$598.27M,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/jmei
3427,JNPR,"Juniper Networks, Inc.",28.42,$10.81B,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/jnpr
3428,JNP,"Juniper Pharmaceuticals, Inc.",4.8,$52.05M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jnp
3429,JUNO,"Juno Therapeutics, Inc.",21.44,$2.27B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/juno
3430,JP,Jupai Holdings Limited,9.2,$275.37M,2015,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jp
3431,JE,"Just Energy Group, Inc.",5.83,$861.81M,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/je
3432,JE^A,"Just Energy Group, Inc.",24.97,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/je^a
3433,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
3434,LRN,K12 Inc,18.08,$735.19M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/lrn
3435,KTWO,"K2M Group Holdings, Inc.",20.75,$877.37M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ktwo
3436,KAI,Kadant Inc,62.1,$677.81M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/kai
3437,KDMN,"Kadmon Holdings, Inc.",3.59,$161.83M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kdmn
3438,KALU,Kaiser Aluminum Corporation,76.85,$1.36B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/kalu
3439,KALV,"KalVista Pharmaceuticals, Inc.",6.95,$68.98M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kalv
3440,KMDA,Kamada Ltd.,7.195,$262.04M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kmda
3441,KAMN,Kaman Corporation,52.1,$1.41B,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/kamn
3442,KNDI,"Kandi Technologies Group, Inc.",4.15,$197.95M,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/kndi
3443,KSU,Kansas City Southern,88.33,$9.42B,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/ksu
3444,KSU^,Kansas City Southern,28.9717,n/a,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/ksu^
3445,KS,KapStone Paper and Packaging Corporation,22.72,$2.2B,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ks
3446,KAR,"KAR Auction Services, Inc",44.51,$6.15B,2009,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/kar
3447,KPTI,Karyopharm Therapeutics Inc.,10.1,$416.56M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kpti
3448,KATE,Kate Spade & Company,23.27,$2.98B,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/kate
3449,KED,Kayne Anderson Energy Development Company,20.12,$215M,2006,n/a,n/a,http://www.nasdaq.com/symbol/ked
3450,KYE,"Kayne Anderson Energy Total Return Fund, Inc.",12.72,$465.02M,2005,n/a,n/a,http://www.nasdaq.com/symbol/kye
3451,KMF,"Kayne Anderson Midstream Energy Fund, Inc",16.52,$364M,2010,n/a,n/a,http://www.nasdaq.com/symbol/kmf
