,id,Symbol,Name,LastSale,MarketValue,IPOyear,Sector,Industry,Summary Quote
0,1,PIH,"1347 Property Insurance Holdings, Inc.",7.25,$43.2M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
1,2,FLWS,"1-800 FLOWERS.COM, Inc.",10.15,$665.53M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
2,3,FCCY,1st Constitution Bancorp (NJ),18.6,$148.68M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
3,4,SRCE,1st Source Corporation,47.06,$1.22B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
4,5,VNET,"21Vianet Group, Inc.",7.24,$823.07M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
5,6,XXII,"22nd Century Group, Inc",0.98,$88.88M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
6,7,TWOU,"2U, Inc.",36.52,$1.72B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
7,8,DDD,3D Systems Corporation,16.49,$1.85B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
8,9,MMM,3M Company,187.41,$111.73B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
9,10,WBAI,500.com Limited,12.68,$526.2M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
10,11,JOBS,"51job, Inc.",36.04,$2.16B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
11,12,WUBA,58.com Inc.,31.97,$4.63B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
12,13,CAFD,8point3 Energy Partners LP,13.48,$1.07B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
13,14,EGHT,8x8 Inc,16.15,$1.47B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
14,15,AVHI,"A V Homes, Inc.",16.2,$365.64M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
15,16,SHLM,"A. Schulman, Inc.",33.7,$992.75M,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
16,17,AHC,A.H. Belo Corporation,6.4,$138.73M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
17,18,ATEN,"A10 Networks, Inc.",9.47,$636.44M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
18,19,AAC,"AAC Holdings, Inc.",7.58,$179.7M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
19,20,AAON,"AAON, Inc.",34.5,$1.82B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
20,21,AIR,AAR Corp.,33.68,$1.16B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
21,22,AAN,"Aaron&#39;s,  Inc.",27.18,$1.97B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
22,23,ABAX,"ABAXIS, Inc.",49.75,$1.12B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
23,24,ABB,ABB Ltd,22.55,$48.17B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
24,25,ABT,Abbott Laboratories,45.68,$78.93B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
25,26,ABBV,AbbVie Inc.,62.09,$98.97B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
26,27,ABEO,Abeona Therapeutics Inc.,5.25,$209.79M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
27,28,ABEOW,Abeona Therapeutics Inc.,3.05,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
28,29,ANF,Abercrombie & Fitch Company,11.98,$810.75M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
29,30,FAX,Aberdeen Asia-Pacific Income Fund Inc,4.95,$1.25B,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
30,31,IAF,Aberdeen Australia Equity Fund Inc,6.3,$143.28M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
31,32,CH,"Aberdeen Chile Fund, Inc.",6.43,$60.36M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
32,33,ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,12.18,$117.46M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe
33,34,FCO,"Aberdeen Global Income Fund, Inc.",8.52,$74.5M,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
34,35,GCH,"Aberdeen Greater China Fund, Inc.",9.4,$84.27M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
35,36,IF,"Aberdeen Indonesia Fund, Inc.",6.6199,$62.23M,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
36,37,ISL,"Aberdeen Israel Fund, Inc.",16.95,$67.77M,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
37,38,JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.8,$104.9M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
38,39,SGF,"Aberdeen Singapore Fund, Inc.",9.76,$73.75M,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
39,40,ABIL,Ability Inc.,2.8,$72.12M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil
40,41,ABMD,"ABIOMED, Inc.",117.14,$5.1B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
41,42,ABM,ABM Industries Incorporated,41.09,$2.28B,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
