,_id,ltable_id,rtable_id,id_id_exm,id_id_anm,id_id_lev_dist,id_id_lev_sim,Name_Name_jac_qgm_3_qgm_3,Name_Name_cos_dlm_dc0_dlm_dc0,Name_Name_jac_dlm_dc0_dlm_dc0,Name_Name_mel,Name_Name_lev_dist,Name_Name_lev_sim,Name_Name_nmw,Name_Name_sw,Country_Country_jac_qgm_3_qgm_3,Country_Country_cos_dlm_dc0_dlm_dc0,Country_Country_jac_dlm_dc0_dlm_dc0,Country_Country_mel,Country_Country_lev_dist,Country_Country_lev_sim,Country_Country_nmw,Country_Country_sw,Industry_Industry_jac_qgm_3_qgm_3,Industry_Industry_cos_dlm_dc0_dlm_dc0,Industry_Industry_jac_dlm_dc0_dlm_dc0,Industry_Industry_mel,Industry_Industry_lev_dist,Industry_Industry_lev_sim,Industry_Industry_nmw,Industry_Industry_sw,MarketValue_ratio,is_match,predicted
94,2302,2580,244,0.0,0.09457364341085273,3.0,0.25,0.3783783783783784,0.7071067811865475,0.5,0.8848484848484849,19.0,0.4242424242424242,-5.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.3333333333333333,0.7071067811865475,0.5,0.8758620689655172,18.0,0.3793103448275862,-7.0,11.0,0.8512886414551899,0,1
95,2339,1266,246,0.0,0.1943127962085308,2.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.5079365079365079,18.0,0.1428571428571429,-6.0,2.0,0.8898979994572056,0,1
96,2409,2469,253,0.0,0.10247063588497363,3.0,0.25,0.37777777777777777,0.5,0.25,0.8809523809523809,25.0,0.40476190476190477,-8.0,17.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.6,0.7071067811865475,0.5,0.826984126984127,6.0,0.7142857142857143,9.0,15.0,1.0764849185989225,0,1
97,2449,702,255,0.0,0.3632478632478633,3.0,0.0,0.35714285714285715,0.7071067811865475,0.5,0.9,5.0,0.5,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.1111111111111111,0.0,0.0,0.8262295081967214,53.0,0.1311475409836066,-45.0,7.0,1.0129950598101332,0,1
98,2450,2758,257,0.0,0.09318346627991303,2.0,0.5,0.6153846153846154,0.40824829046386296,0.25,0.9454545454545455,6.0,0.7272727272727273,10.0,16.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.30612244897959184,0.4472135954999579,0.2,0.8608695652173913,32.0,0.30434782608695654,-18.0,14.0,0.5051385185082249,0,1
99,2479,1378,261,0.0,0.1894049346879536,4.0,0.0,0.3333333333333333,0.7071067811865475,0.5,0.88,12.0,0.4,-4.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.25925925925925924,0.0,0.0,0.8570813397129187,10.0,0.4736842105263158,1.0,6.0,0.7992155732943518,0,1
100,2498,1875,268,0.0,0.14293333333333336,4.0,0.0,0.7222222222222222,0.5773502691896258,0.4,0.9625,6.0,0.8125,20.0,26.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.3018867924528302,0.0,0.0,0.6676978818283166,24.0,0.4,1.0,13.0,1.4422277421350886,0,1
101,2517,2277,270,0.0,0.11857707509881421,2.0,0.5,0.5294117647058824,0.8164965809277259,0.6666666666666666,0.92,12.0,0.6,6.0,18.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.375,0.75,0.6,0.88,7.0,0.65,12.0,13.0,0.7823436193085601,0,1
102,2526,2732,271,0.0,0.099194729136164,2.0,0.5,0.5833333333333334,0.40824829046386296,0.25,0.9400000000000001,6.0,0.7,8.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,0.6049630161809418,0,1
103,2555,3082,281,0.0,0.09117456197274498,3.0,0.25,0.7142857142857143,0.8164965809277259,0.6666666666666666,0.9615384615384615,5.0,0.8076923076923077,16.0,21.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.4958513708513708,24.0,0.1428571428571429,-1.0,3.0,0.6542083334099369,0,1
104,2634,2581,282,0.0,0.10925997675319643,2.0,0.5,0.7575757575757576,0.8660254037844387,0.75,0.9724137931034482,4.0,0.8620689655172413,21.0,25.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.3333333333333333,0.7071067811865475,0.5,0.8758620689655172,18.0,0.3793103448275862,-7.0,11.0,0.8391832273462436,0,1
105,2649,2190,285,0.0,0.13013698630136983,3.0,0.25,0.17073170731707318,0.35355339059327373,0.2,0.8107142857142858,17.0,0.3928571428571429,-1.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.07692307692307693,0.0,0.0,0.5404456654456654,20.0,0.2857142857142857,4.0,5.0,1.1185008394241673,0,0
106,2654,2106,286,0.0,0.13580246913580252,2.0,0.5,0.375,0.0,0.0,0.9,6.0,0.5,0.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.023809523809523808,0.0,0.0,0.6028947368421053,17.0,0.15000000000000002,2.0,3.0,0.8851191087150829,0,1
107,2655,2106,287,0.0,0.13627730294396956,3.0,0.25,0.375,0.0,0.0,0.9,6.0,0.5,0.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.023809523809523808,0.0,0.0,0.6028947368421053,17.0,0.15000000000000002,2.0,3.0,2.8702156500484093,0,1
108,2672,2278,293,0.0,0.12862159789288852,3.0,0.25,0.2727272727272727,0.7071067811865475,0.5,0.8666666666666666,12.0,0.33333333333333337,-6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.375,0.75,0.6,0.88,7.0,0.65,12.0,13.0,1.0896689650297005,0,1
109,2709,1278,296,0.0,0.23161189358372458,3.0,0.25,0.12727272727272726,0.2581988897471611,0.14285714285714285,0.775691031941032,26.0,0.29729729729729726,-4.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.444125159642401,26.0,0.10344827586206895,-17.0,2.0,0.5181629265829096,0,0
110,2725,1278,297,0.0,0.23239436619718312,3.0,0.25,0.19047619047619047,0.33333333333333337,0.2,0.8082251082251082,14.0,0.41666666666666663,7.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.014285714285714285,0.0,0.0,0.5066788099574985,54.0,0.11475409836065575,-45.0,3.0,6.184548941921499,0,0
111,2739,2279,298,0.0,0.1307591048705573,3.0,0.25,0.14634146341463414,0.2886751345948129,0.16666666666666666,0.5472359058565955,21.0,0.27586206896551724,-7.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.023809523809523808,0.0,0.0,0.4930799220272905,18.0,0.09999999999999998,1.0,3.0,68.89255145338487,0,0
112,2746,1278,298,0.0,0.23317683881064166,2.0,0.5,0.14583333333333334,0.2886751345948129,0.16666666666666666,0.7616831444417652,20.0,0.31034482758620685,2.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.3859649122807018,17.0,0.10526315789473684,-8.0,2.0,0.09120374693867142,0,0
113,2762,1278,299,0.0,0.2339593114241002,3.0,0.25,0.2222222222222222,0.33333333333333337,0.2,0.8120493730407523,17.0,0.4137931034482759,5.0,11.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.14122741292200278,0.14762934108736195,0.10737465498298361,0.5787347678207425,18.804164321890827,0.27659751916556874,-2.719189645469893,5.709060213843556,0.6205698470667946,0,0
114,2768,870,301,0.0,0.34597701149425286,3.0,0.0,0.15625,0.5,0.25,0.8357142857142857,23.0,0.1785714285714286,-18.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.4081908625519173,26.0,0.10344827586206895,-9.0,3.0,137.61915462414694,0,1
115,2770,870,302,0.0,0.34712643678160915,3.0,0.0,0.35714285714285715,0.7071067811865475,0.5,0.9,5.0,0.5,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.2647058823529412,0.4999999999999999,0.3333333333333333,0.8336007130124777,10.0,0.5454545454545454,7.0,11.0,0.7774791758292565,0,1
116,2784,3083,304,0.0,0.09860525462212133,2.0,0.5,0.18,0.2886751345948129,0.16666666666666666,0.8042852624920936,20.0,0.3548387096774194,4.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.5484485321441843,19.0,0.20833333333333337,3.0,4.0,38.31958064123175,0,0
117,2785,2733,304,0.0,0.11123307720453712,4.0,0.0,0.21621621621621623,0.35355339059327373,0.2,0.8028966131907309,14.0,0.41666666666666663,3.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.02564102564102564,0.0,0.0,0.47308488612836436,17.0,0.26086956521739135,-3.0,4.0,537.4636017168068,0,0
118,2787,3083,305,0.0,0.0989296140123257,2.0,0.5,0.3392857142857143,0.5773502691896258,0.4,0.8323573200992556,20.0,0.5,8.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.011904761904761904,0.0,0.0,0.48673724954462655,48.0,0.21311475409836067,-24.0,5.0,13.65640840464517,0,0
119,2788,2733,305,0.0,0.11159897548481523,4.0,0.0,0.1509433962264151,0.35355339059327373,0.2,0.7918487394957983,28.0,0.30000000000000004,-11.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.02702702702702703,0.0,0.0,0.5457325006505335,52.0,0.14754098360655743,-38.0,4.0,191.5423479290021,0,0
120,2794,3083,306,0.0,0.09925397340252995,2.0,0.5,0.775,0.5773502691896258,0.4,0.9675675675675676,6.0,0.8378378378378378,25.0,31.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.5429292929292929,20.0,0.16666666666666663,2.0,3.0,0.7066349411077316,0,1
121,2795,2733,306,0.0,0.11196487376509334,4.0,0.0,0.2127659574468085,0.35355339059327373,0.2,0.824218335983042,24.0,0.3513513513513513,-7.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.05405405405405406,0.0,0.0,0.4783549783549783,18.0,0.18181818181818177,-4.0,4.0,9.911135617649522,0,0
122,2808,3083,307,0.0,0.09957833279273431,2.0,0.5,0.23404255319148937,0.33333333333333337,0.2,0.8351664575182698,18.0,0.4193548387096774,5.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.38849206349206344,21.0,0.125,-7.0,3.0,0.040566187786993904,0,0
123,2810,2733,307,0.0,0.11233077204537134,4.0,0.0,0.6296296296296297,0.40824829046386296,0.25,0.9478260869565217,6.0,0.7391304347826086,11.0,17.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,0.5689741127401141,0,1
124,2814,3083,308,0.0,0.09990269218293868,1.0,0.75,0.16363636363636364,0.33333333333333337,0.2,0.8069632925472747,22.0,0.29032258064516125,7.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.38849206349206344,21.0,0.125,-7.0,3.0,1.6239038865572157,0,0
125,2815,2733,308,0.0,0.11269667032564945,4.0,0.0,0.19047619047619047,0.40824829046386296,0.25,0.8398290350623009,17.0,0.4137931034482759,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,22.776586202298976,0,1
126,2841,2431,312,0.0,0.12834224598930477,3.0,0.25,0.5,0.0,0.0,0.925,6.0,0.625,4.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.05128205128205128,0.0,0.0,0.6267857142857143,17.0,0.19047619047619047,-1.0,2.0,1.0257992006301928,0,1
127,2883,3050,326,0.0,0.10688524590163939,3.0,0.25,0.30434782608695654,0.7071067811865475,0.5,0.8736842105263157,12.0,0.368421052631579,-5.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.16666666666666666,0.0,0.0,0.7986001317523057,20.0,0.3939393939393939,2.0,9.0,0.8366185596198573,0,1
128,2894,2191,327,0.0,0.14924691921497035,4.0,0.0,0.47368421052631576,0.40824829046386296,0.25,0.92,6.0,0.6,3.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.10256410256410256,0.0,0.0,0.5465367965367965,24.0,0.1428571428571429,-13.0,6.0,0.004061207262249434,0,1
129,2907,2172,331,0.0,0.15239410681399634,4.0,0.0,0.4375,0.7071067811865475,0.5,0.9166666666666667,5.0,0.5833333333333333,2.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.2727272727272727,0.0,0.0,0.8222222222222222,12.0,0.33333333333333337,-6.0,5.0,68.89255145338487,0,1
130,3053,737,345,0.0,0.4681139755766621,3.0,0.0,0.78125,0.8660254037844387,0.75,0.9733333333333334,4.0,0.8666666666666667,22.0,26.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.046511627906976744,0.0,0.0,0.5112037037037037,21.0,0.16000000000000003,-5.0,3.0,1.0809386858318364,0,1
